experiment_id,factor,train_domain,val_domain,test_domain,split,seed,checkpoint_rule,checkpoint_path,FOV,ghost_ratio,sampling,loss,intensity_method,mIoU,precision,recall,F1,IoU_ghost,AP,source_file,record_status,authority_rank
e0_direct_mixed_seed2026,E0_baseline,synth_C_v5+3DRef,synth_C_v5+3DRef,val,val,2026,best_F1_on_val,data/e0_direct_mixed_seed2026/best_model.pth,full,,priority,focal,none,0.6383,0.5577,0.9357,0.6988,0.5371,0.973393,data/e0_direct_mixed_seed2026/final_results.json,formal,1
e0_direct_mixed_seed2027,E0_baseline,synth_C_v5+3DRef,synth_C_v5+3DRef,val,val,2027,best_F1_on_val,data/e0_direct_mixed_seed2027/best_model.pth,full,,priority,focal,none,0.799,0.8487,0.8039,0.8257,0.7031,0.989806,data/e0_direct_mixed_seed2027/final_results.json,formal,1
e0_direct_mixed_seed2028,E0_baseline,synth_C_v5+3DRef,synth_C_v5+3DRef,val,val,2028,best_F1_on_val,data/e0_direct_mixed_seed2028/best_model.pth,full,,priority,focal,none,0.8007,0.8418,0.8147,0.828,0.7065,0.988539,data/e0_direct_mixed_seed2028/final_results.json,formal,1
e0_source_only_seed2026,E0_baseline,synth_C_v5,synth_C_v5,val,val,2026,best_F1_on_val,data/e0_source_only_seed2026/best_model.pth,full,,priority,focal,none,0.6812,0.5239,0.9135,0.6659,0.4991,0.561351,data/e0_source_only_seed2026/final_results.json,formal,1
e0_source_only_seed2027,E0_baseline,synth_C_v5,synth_C_v5,val,val,2027,best_F1_on_val,data/e0_source_only_seed2027/best_model.pth,full,,priority,focal,none,0.6901,0.5404,0.8978,0.6747,0.5091,0.512762,data/e0_source_only_seed2027/final_results.json,formal,1
e0_source_only_seed2028,E0_baseline,synth_C_v5,synth_C_v5,val,val,2028,best_F1_on_val,data/e0_source_only_seed2028/best_model.pth,full,,priority,focal,none,0.6962,0.5567,0.8713,0.6793,0.5144,0.505252,data/e0_source_only_seed2028/final_results.json,formal,1
e0_target_only_seed2026,E0_baseline,3DRef,3DRef,val,val,2026,best_F1_on_val,data/e0_target_only_seed2026/best_model.pth,full,,priority,focal,none,0.9531,0.9451,0.9936,0.9688,0.9394,0.989635,data/e0_target_only_seed2026/final_results.json,formal,1
e0_target_only_seed2027,E0_baseline,3DRef,3DRef,val,val,2027,best_F1_on_val,data/e0_target_only_seed2027/best_model.pth,full,,priority,focal,none,0.9567,0.9482,0.9953,0.9712,0.944,0.991412,data/e0_target_only_seed2027/final_results.json,formal,1
e0_target_only_seed2028,E0_baseline,3DRef,3DRef,val,val,2028,best_F1_on_val,data/e0_target_only_seed2028/best_model.pth,full,,priority,focal,none,0.9544,0.9456,0.995,0.9697,0.9411,0.990317,data/e0_target_only_seed2028/final_results.json,formal,1
e2_ratio_matched_seed2026,E2_ratio_matching,synth_ratio_matched+3DRef,synth_ratio_matched+3DRef,val,val,2026,best_F1_on_val,data/e2_ratio_matched_mixed/best_model.pth,full,10.83%,priority,focal,none,0.8284,0.9316,0.844,0.8856,0.7947,0.958345,data/e2_ratio_matched_mixed/final_results.json,formal,1
e2_ratio_matched_seed2027,E2_ratio_matching,synth_ratio_matched+3DRef,synth_ratio_matched+3DRef,val,val,2027,best_F1_on_val,data/e2_ratio_matched_seed2027/best_model.pth,full,10.83%,priority,focal,none,0.8363,0.9107,0.877,0.8935,0.8076,0.9561171533537717,data/e2_ratio_matched_seed2027/final_results.json,formal,1
